course_id,title,domain,topic,level,duration,language,provider,tags,redirect_url,data_source
IGOT-0015,Labour Statistics – Advanced Level,Statistical Competencies,Labour Statistics,Advanced,8 hrs,English,National Informatics Centre (NIC),Statistical Competencies; Labour Statistics; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Labour%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0016,Agricultural Statistics – Foundation Level,Statistical Competencies,Agricultural Statistics,Foundation,12 hrs,"English, Hindi",Capacity Building Commission (CBC),Statistical Competencies; Agricultural Statistics; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Agricultural%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0017,Agricultural Statistics – Intermediate Level,Statistical Competencies,Agricultural Statistics,Intermediate,20 hrs,"English, Hindi, Regional",iGOT Karmayogi Central Content Team,Statistical Competencies; Agricultural Statistics; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Agricultural%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0018,Agricultural Statistics – Advanced Level,Statistical Competencies,Agricultural Statistics,Advanced,2 hrs,English,National Statistical Systems Training Academy (NSSTA),Statistical Competencies; Agricultural Statistics; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Agricultural%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0019,Industrial Statistics – Foundation Level,Statistical Competencies,Industrial Statistics,Foundation,4 hrs,"English, Hindi",Indian Institute of Public Administration (IIPA),Statistical Competencies; Industrial Statistics; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Industrial%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0020,Industrial Statistics – Intermediate Level,Statistical Competencies,Industrial Statistics,Intermediate,6 hrs,"English, Hindi, Regional",Ministry of Statistics and Programme Implementation (MoSPI),Statistical Competencies; Industrial Statistics; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Industrial%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0021,Industrial Statistics – Advanced Level,Statistical Competencies,Industrial Statistics,Advanced,8 hrs,English,National Informatics Centre (NIC),Statistical Competencies; Industrial Statistics; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Industrial%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0022,SDG Indicators Framework – Foundation Level,Statistical Competencies,SDG Indicators Framework,Foundation,12 hrs,"English, Hindi",Capacity Building Commission (CBC),Statistical Competencies; SDG Indicators Framework; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=SDG%20Indicators%20Framework,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0023,SDG Indicators Framework – Intermediate Level,Statistical Competencies,SDG Indicators Framework,Intermediate,20 hrs,"English, Hindi, Regional",iGOT Karmayogi Central Content Team,Statistical Competencies; SDG Indicators Framework; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=SDG%20Indicators%20Framework,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0024,SDG Indicators Framework – Advanced Level,Statistical Competencies,SDG Indicators Framework,Advanced,2 hrs,English,National Statistical Systems Training Academy (NSSTA),Statistical Competencies; SDG Indicators Framework; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=SDG%20Indicators%20Framework,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0025,Metadata Standards (SDMX) – Foundation Level,Statistical Competencies,Metadata Standards (SDMX),Foundation,4 hrs,"English, Hindi",Indian Institute of Public Administration (IIPA),Statistical Competencies; Metadata Standards (SDMX); Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Metadata%20Standards%20%28SDMX%29,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0026,Metadata Standards (SDMX) – Intermediate Level,Statistical Competencies,Metadata Standards (SDMX),Intermediate,6 hrs,"English, Hindi, Regional",Ministry of Statistics and Programme Implementation (MoSPI),Statistical Competencies; Metadata Standards (SDMX); Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Metadata%20Standards%20%28SDMX%29,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0027,Metadata Standards (SDMX) – Advanced Level,Statistical Competencies,Metadata Standards (SDMX),Advanced,8 hrs,English,National Informatics Centre (NIC),Statistical Competencies; Metadata Standards (SDMX); Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Metadata%20Standards%20%28SDMX%29,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0028,Data Quality Frameworks – Foundation Level,Statistical Competencies,Data Quality Frameworks,Foundation,12 hrs,"English, Hindi",Capacity Building Commission (CBC),Statistical Competencies; Data Quality Frameworks; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Data%20Quality%20Frameworks,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0029,Data Quality Frameworks – Intermediate Level,Statistical Competencies,Data Quality Frameworks,Intermediate,20 hrs,"English, Hindi, Regional",iGOT Karmayogi Central Content Team,Statistical Competencies; Data Quality Frameworks; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Data%20Quality%20Frameworks,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0030,Data Quality Frameworks – Advanced Level,Statistical Competencies,Data Quality Frameworks,Advanced,2 hrs,English,National Statistical Systems Training Academy (NSSTA),Statistical Competencies; Data Quality Frameworks; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Data%20Quality%20Frameworks,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0031,Census Methodology – Foundation Level,Statistical Competencies,Census Methodology,Foundation,4 hrs,"English, Hindi",Indian Institute of Public Administration (IIPA),Statistical Competencies; Census Methodology; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Census%20Methodology,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0032,Census Methodology – Intermediate Level,Statistical Competencies,Census Methodology,Intermediate,6 hrs,"English, Hindi, Regional",Ministry of Statistics and Programme Implementation (MoSPI),Statistical Competencies; Census Methodology; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Census%20Methodology,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0033,Census Methodology – Advanced Level,Statistical Competencies,Census Methodology,Advanced,8 hrs,English,National Informatics Centre (NIC),Statistical Competencies; Census Methodology; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Census%20Methodology,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0034,Economic Statistics – Foundation Level,Statistical Competencies,Economic Statistics,Foundation,12 hrs,"English, Hindi",Capacity Building Commission (CBC),Statistical Competencies; Economic Statistics; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Economic%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0035,Economic Statistics – Intermediate Level,Statistical Competencies,Economic Statistics,Intermediate,20 hrs,"English, Hindi, Regional",iGOT Karmayogi Central Content Team,Statistical Competencies; Economic Statistics; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Economic%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0036,Economic Statistics – Advanced Level,Statistical Competencies,Economic Statistics,Advanced,2 hrs,English,National Statistical Systems Training Academy (NSSTA),Statistical Competencies; Economic Statistics; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Economic%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0037,Time Series Analysis for Official Statistics – Foundation Level,Statistical Competencies,Time Series Analysis for Official Statistics,Foundation,4 hrs,"English, Hindi",Indian Institute of Public Administration (IIPA),Statistical Competencies; Time Series Analysis for Official Statistics; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Time%20Series%20Analysis%20for%20Official%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0038,Time Series Analysis for Official Statistics – Intermediate Level,Statistical Competencies,Time Series Analysis for Official Statistics,Intermediate,6 hrs,"English, Hindi, Regional",Ministry of Statistics and Programme Implementation (MoSPI),Statistical Competencies; Time Series Analysis for Official Statistics; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Time%20Series%20Analysis%20for%20Official%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0039,Time Series Analysis for Official Statistics – Advanced Level,Statistical Competencies,Time Series Analysis for Official Statistics,Advanced,8 hrs,English,National Informatics Centre (NIC),Statistical Competencies; Time Series Analysis for Official Statistics; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Time%20Series%20Analysis%20for%20Official%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0040,Statistical Estimation Methods – Foundation Level,Statistical Competencies,Statistical Estimation Methods,Foundation,12 hrs,"English, Hindi",Capacity Building Commission (CBC),Statistical Competencies; Statistical Estimation Methods; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Statistical%20Estimation%20Methods,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0041,Statistical Estimation Methods – Intermediate Level,Statistical Competencies,Statistical Estimation Methods,Intermediate,20 hrs,"English, Hindi, Regional",iGOT Karmayogi Central Content Team,Statistical Competencies; Statistical Estimation Methods; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Statistical%20Estimation%20Methods,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0042,Statistical Estimation Methods – Advanced Level,Statistical Competencies,Statistical Estimation Methods,Advanced,2 hrs,English,National Statistical Systems Training Academy (NSSTA),Statistical Competencies; Statistical Estimation Methods; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Statistical%20Estimation%20Methods,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0043,Administrative Data Integration – Foundation Level,Statistical Competencies,Administrative Data Integration,Foundation,4 hrs,"English, Hindi",Indian Institute of Public Administration (IIPA),Statistical Competencies; Administrative Data Integration; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Administrative%20Data%20Integration,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0044,Administrative Data Integration – Intermediate Level,Statistical Competencies,Administrative Data Integration,Intermediate,6 hrs,"English, Hindi, Regional",Ministry of Statistics and Programme Implementation (MoSPI),Statistical Competencies; Administrative Data Integration; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Administrative%20Data%20Integration,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0045,Administrative Data Integration – Advanced Level,Statistical Competencies,Administrative Data Integration,Advanced,8 hrs,English,National Informatics Centre (NIC),Statistical Competencies; Administrative Data Integration; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Administrative%20Data%20Integration,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0046,Python for Data Analysis – Foundation Level,Technical Competencies,Python for Data Analysis,Foundation,12 hrs,"English, Hindi",Capacity Building Commission (CBC),Technical Competencies; Python for Data Analysis; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Python%20for%20Data%20Analysis,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0047,Python for Data Analysis – Intermediate Level,Technical Competencies,Python for Data Analysis,Intermediate,20 hrs,"English, Hindi, Regional",iGOT Karmayogi Central Content Team,Technical Competencies; Python for Data Analysis; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Python%20for%20Data%20Analysis,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0048,Python for Data Analysis – Advanced Level,Technical Competencies,Python for Data Analysis,Advanced,2 hrs,English,National Statistical Systems Training Academy (NSSTA),Technical Competencies; Python for Data Analysis; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Python%20for%20Data%20Analysis,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0049,R Programming for Statisticians – Foundation Level,Technical Competencies,R Programming for Statisticians,Foundation,4 hrs,"English, Hindi",Indian Institute of Public Administration (IIPA),Technical Competencies; R Programming for Statisticians; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=R%20Programming%20for%20Statisticians,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0050,R Programming for Statisticians – Intermediate Level,Technical Competencies,R Programming for Statisticians,Intermediate,6 hrs,"English, Hindi, Regional",Ministry of Statistics and Programme Implementation (MoSPI),Technical Competencies; R Programming for Statisticians; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=R%20Programming%20for%20Statisticians,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0051,R Programming for Statisticians – Advanced Level,Technical Competencies,R Programming for Statisticians,Advanced,8 hrs,English,National Informatics Centre (NIC),Technical Competencies; R Programming for Statisticians; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=R%20Programming%20for%20Statisticians,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0052,SQL for Data Management – Foundation Level,Technical Competencies,SQL for Data Management,Foundation,12 hrs,"English, Hindi",Capacity Building Commission (CBC),Technical Competencies; SQL for Data Management; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=SQL%20for%20Data%20Management,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0053,SQL for Data Management – Intermediate Level,Technical Competencies,SQL for Data Management,Intermediate,20 hrs,"English, Hindi, Regional",iGOT Karmayogi Central Content Team,Technical Competencies; SQL for Data Management; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=SQL%20for%20Data%20Management,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0054,SQL for Data Management – Advanced Level,Technical Competencies,SQL for Data Management,Advanced,2 hrs,English,National Statistical Systems Training Academy (NSSTA),Technical Competencies; SQL for Data Management; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=SQL%20for%20Data%20Management,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0055,Stata for Survey Data – Foundation Level,Technical Competencies,Stata for Survey Data,Foundation,4 hrs,"English, Hindi",Indian Institute of Public Administration (IIPA),Technical Competencies; Stata for Survey Data; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Stata%20for%20Survey%20Data,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0056,Stata for Survey Data – Intermediate Level,Technical Competencies,Stata for Survey Data,Intermediate,6 hrs,"English, Hindi, Regional",Ministry of Statistics and Programme Implementation (MoSPI),Technical Competencies; Stata for Survey Data; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Stata%20for%20Survey%20Data,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0057,Stata for Survey Data – Advanced Level,Technical Competencies,Stata for Survey Data,Advanced,8 hrs,English,National Informatics Centre (NIC),Technical Competencies; Stata for Survey Data; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Stata%20for%20Survey%20Data,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0058,SPSS Fundamentals – Foundation Level,Technical Competencies,SPSS Fundamentals,Foundation,12 hrs,"English, Hindi",Capacity Building Commission (CBC),Technical Competencies; SPSS Fundamentals; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=SPSS%20Fundamentals,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0059,SPSS Fundamentals – Intermediate Level,Technical Competencies,SPSS Fundamentals,Intermediate,20 hrs,"English, Hindi, Regional",iGOT Karmayogi Central Content Team,Technical Competencies; SPSS Fundamentals; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=SPSS%20Fundamentals,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0060,SPSS Fundamentals – Advanced Level,Technical Competencies,SPSS Fundamentals,Advanced,2 hrs,English,National Statistical Systems Training Academy (NSSTA),Technical Competencies; SPSS Fundamentals; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=SPSS%20Fundamentals,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0061,SAS Programming – Foundation Level,Technical Competencies,SAS Programming,Foundation,4 hrs,"English, Hindi",Indian Institute of Public Administration (IIPA),Technical Competencies; SAS Programming; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=SAS%20Programming,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0062,SAS Programming – Intermediate Level,Technical Competencies,SAS Programming,Intermediate,6 hrs,"English, Hindi, Regional",Ministry of Statistics and Programme Implementation (MoSPI),Technical Competencies; SAS Programming; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=SAS%20Programming,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0063,SAS Programming – Advanced Level,Technical Competencies,SAS Programming,Advanced,8 hrs,English,National Informatics Centre (NIC),Technical Competencies; SAS Programming; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=SAS%20Programming,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0064,GIS & Spatial Data Analysis – Foundation Level,Technical Competencies,GIS & Spatial Data Analysis,Foundation,12 hrs,"English, Hindi",Capacity Building Commission (CBC),Technical Competencies; GIS & Spatial Data Analysis; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=GIS%20%26%20Spatial%20Data%20Analysis,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0065,GIS & Spatial Data Analysis – Intermediate Level,Technical Competencies,GIS & Spatial Data Analysis,Intermediate,20 hrs,"English, Hindi, Regional",iGOT Karmayogi Central Content Team,Technical Competencies; GIS & Spatial Data Analysis; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=GIS%20%26%20Spatial%20Data%20Analysis,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0066,GIS & Spatial Data Analysis – Advanced Level,Technical Competencies,GIS & Spatial Data Analysis,Advanced,2 hrs,English,National Statistical Systems Training Academy (NSSTA),Technical Competencies; GIS & Spatial Data Analysis; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=GIS%20%26%20Spatial%20Data%20Analysis,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0067,Data Visualization with Dashboards – Foundation Level,Technical Competencies,Data Visualization with Dashboards,Foundation,4 hrs,"English, Hindi",Indian Institute of Public Administration (IIPA),Technical Competencies; Data Visualization with Dashboards; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Data%20Visualization%20with%20Dashboards,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0068,Data Visualization with Dashboards – Intermediate Level,Technical Competencies,Data Visualization with Dashboards,Intermediate,6 hrs,"English, Hindi, Regional",Ministry of Statistics and Programme Implementation (MoSPI),Technical Competencies; Data Visualization with Dashboards; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Data%20Visualization%20with%20Dashboards,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0069,Data Visualization with Dashboards – Advanced Level,Technical Competencies,Data Visualization with Dashboards,Advanced,8 hrs,English,National Informatics Centre (NIC),Technical Competencies; Data Visualization with Dashboards; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Data%20Visualization%20with%20Dashboards,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0070,AI/ML Foundations – Foundation Level,Technical Competencies,AI/ML Foundations,Foundation,12 hrs,"English, Hindi",Capacity Building Commission (CBC),Technical Competencies; AI/ML Foundations; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=AI/ML%20Foundations,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0071,AI/ML Foundations – Intermediate Level,Technical Competencies,AI/ML Foundations,Intermediate,20 hrs,"English, Hindi, Regional",iGOT Karmayogi Central Content Team,Technical Competencies; AI/ML Foundations; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=AI/ML%20Foundations,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0072,AI/ML Foundations – Advanced Level,Technical Competencies,AI/ML Foundations,Advanced,2 hrs,English,National Statistical Systems Training Academy (NSSTA),Technical Competencies; AI/ML Foundations; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=AI/ML%20Foundations,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0073,Cloud Computing Essentials – Foundation Level,Technical Competencies,Cloud Computing Essentials,Foundation,4 hrs,"English, Hindi",Indian Institute of Public Administration (IIPA),Technical Competencies; Cloud Computing Essentials; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Cloud%20Computing%20Essentials,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0074,Cloud Computing Essentials – Intermediate Level,Technical Competencies,Cloud Computing Essentials,Intermediate,6 hrs,"English, Hindi, Regional",Ministry of Statistics and Programme Implementation (MoSPI),Technical Competencies; Cloud Computing Essentials; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Cloud%20Computing%20Essentials,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0075,Cloud Computing Essentials – Advanced Level,Technical Competencies,Cloud Computing Essentials,Advanced,8 hrs,English,National Informatics Centre (NIC),Technical Competencies; Cloud Computing Essentials; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Cloud%20Computing%20Essentials,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0076,API Integration & Development – Foundation Level,Technical Competencies,API Integration & Development,Foundation,12 hrs,"English, Hindi",Capacity Building Commission (CBC),Technical Competencies; API Integration & Development; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=API%20Integration%20%26%20Development,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0077,API Integration & Development – Intermediate Level,Technical Competencies,API Integration & Development,Intermediate,20 hrs,"English, Hindi, Regional",iGOT Karmayogi Central Content Team,Technical Competencies; API Integration & Development; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=API%20Integration%20%26%20Development,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0078,API Integration & Development – Advanced Level,Technical Competencies,API Integration & Development,Advanced,2 hrs,English,National Statistical Systems Training Academy (NSSTA),Technical Competencies; API Integration & Development; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=API%20Integration%20%26%20Development,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0079,Open Data Publishing – Foundation Level,Technical Competencies,Open Data Publishing,Foundation,4 hrs,"English, Hindi",Indian Institute of Public Administration (IIPA),Technical Competencies; Open Data Publishing; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Open%20Data%20Publishing,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0080,Open Data Publishing – Intermediate Level,Technical Competencies,Open Data Publishing,Intermediate,6 hrs,"English, Hindi, Regional",Ministry of Statistics and Programme Implementation (MoSPI),Technical Competencies; Open Data Publishing; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Open%20Data%20Publishing,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0081,Open Data Publishing – Advanced Level,Technical Competencies,Open Data Publishing,Advanced,8 hrs,English,National Informatics Centre (NIC),Technical Competencies; Open Data Publishing; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Open%20Data%20Publishing,SYNTHETIC_SAMPLE_FOR_DEMO
